✅ Blackjack blueprint registered successfully

🚀 Blackjack server starting on port 5003
📍 Game: http://localhost:5003/blackjack
📍 Card test: http://localhost:5003/cards-test
📍 Dealer peek demo: http://localhost:5003/dealer-peek-demo

Press Ctrl+C to stop the server

 * Serving Flask app 'app_blackjack_only'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5003
 * Running on http://192.168.1.221:5003
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 144-298-944
127.0.0.1 - - [14/Nov/2025 20:16:56] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "POST /api/new_game HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:16:58] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [14/Nov/2025 20:17:08] "POST /api/bet HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:17:08] "POST /api/deal HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:17:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:17:27] "[36mGET /static/css/blackjack.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [14/Nov/2025 20:17:27] "[36mGET /static/js/card.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [14/Nov/2025 20:17:27] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:17:27] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 20:17:28] "POST /api/new_game HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:24:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:24:58] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:24:58] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:24:58] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:24:58] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:14] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:14] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:14] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:14] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:32] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:32] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:32] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:25:32] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:45] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:45] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:45] "GET /static/js/blackjack.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:45] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:48] "GET /static/css/cards.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:48] "GET /static/css/blackjack.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:48] "GET /static/js/card.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Nov/2025 22:29:48] "GET /static/js/blackjack.js HTTP/1.1" 200 -
